YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,LAST_FLAG,PREVIOUS_FLAG,BENEFICIAL_OWNER,BO_COUNTRY,COMMERCIAL_OPERATOR,REGISTERED_OWNER,RO_COUNTRY,PLACE,COUNTRY,ARRIVAL
2015,8409379,Butler Favour,Tug/Supply,3949,,1986,Nigeria ,,A.G. Butler Nigeria Limited,Nigeria,A.G. Butler Nigeria Limited,A.G. Butler Nigeria Limited,Nigeria,Alang,India,01-08-2015
2015,9100102,Melchior,Bulk Carrier,38891,,1995,Marshall Islands ,,A.M. Nomikos Transworld Maritime Agencies S.A.,Greece,A.M. Nomikos Transworld Maritime Agencies S.A.,Melchior Navigation Incorporated  ,Marshall Islands,Chittagong,Bangladesh,18-05-2015
2015,8212714,LTC John U.D.Page,Fully Cellular Containership,57075,,1985,United States of America,,A.P. Moller-Maersk Group,Denmark,Maersk Line Limited  ,Maersk Line Limited,United States of America,Aliaga,Turkey,27-03-2015
2015,8409381,Maersk Mariner,Fire Fighting Tug/Supply,3949,,1986,Isle of Man ,,A.P. Moller-Maersk Group ,Denmark,Maersk Supply Service A/S  ,Maersk Supply Service UK Limited,United Kingdom,Aliaga,Turkey,12-01-2015
2015,8202044,Tamim,Bulk Carrier,15185,,1982,Sudan ,,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Abu Qurrah Oil Well Maintenance Establishment,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Gadani,Pakistan,02-06-2015
2015,7533393,Elduga,Vehicle Carrier,5927,,1977,Cambodia ,,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.  ,Panama,Chittagong,Bangladesh,08-02-2015
2015,8506579,Kema,Roll On Roll Off,6318,,1985,Cambodia ,,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.,Panama,Chittagong,Bangladesh,23-02-2015
2015,8400268,ACS 8,Product Tanker,2970,,1985,Thailand ,,ACS Marine Company Limited,Thailand,ACS Marine Company Limited,ACS Marine Company Limited,Thailand,Chittagong,Bangladesh,26-01-2015
2015,8616582,Zeynep Dundar,General Cargo With Container Capacity,1829,,1987,Panama,,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Turkey,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Mediterranean Logistics Corporation ,Turkey,Aliaga,Turkey,07-12-2015
2015,7925895,Natzutec,Bulk Carrier,17679,,1981,Hong Kong ,,Adani Shipping (China) Company Limited,China,Adani Shipping (China) Company Limited,Natzutec Maritime Limited,Hong Kong,Chittagong,Bangladesh,17-08-2015
2015,8705761,Amsir,Bulk Carrier,36554,,1988,Bangladesh ,,AK Ship Management & Services (Private) Limited,Bangladesh,AK Ship Management & Services (Private) Limited,Abul Khair Shipping Lines,Bangladesh,Chittagong,Bangladesh,13-08-2015
2015,8126630,Marsi,Bulk Carrier,25935,,1984,Panama ,,AK Ship Management & Services (Private) Limited,Bangladesh,AK Ship Management & Services (Private) Limited,Sarim Shipping Limited,Hong Kong,Chittagong,Bangladesh,28-08-2015
2015,8016990,Ramsi,Bulk Carrier,22182,,1982,St. Vincent & Grenadines ,,AK Ship Management & Services (Private) Limited ,Bangladesh,AK Ship Management & Services (Private) Limited ,Alpha Vanguard International Limited ,Singapore,Chittagong,Bangladesh,23-09-2015
2015,7433335,Hatice Akar,Bulk Carrier,9780,,1980,Panama,,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,Turkey,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,Ena Shipping & Trading Corporation ,Panama,Alang,India,29-01-2015
2015,8405323,Revana 1,Product Tanker,1332,,1984,Tanzania ,,Al Rafedain Marine Services Company Limited ,United Arab Emirates,Al Rafedain Marine Services Company Limited ,Sumida Shipping & Trading Incorporated ,Panama,Gadani,Pakistan,20-10-2015
2015,9107590,HSS Discovery,Passenger Ro/Ro,19638,,1997,Venezuela ,,Albamar C.A. ,Venezuela,Albamar C.A. ,Albamar C.A. ,Venezuela,Aliaga,Turkey,27-07-2015
2015,8105492,Nelvana,Bulk Carrier,44340,,1983,Bermuda ,,Algoma Central Corporation,Canada,Algoma Central Corporation,Marbulk Canada Incorporated,United States of America,Aliaga,Turkey,28-04-2015
2015,5241142,Mont,Bulk Carrier,17647,,1962,St. Kitts-Nevis ,,Algoma Central Corporation,Canada,Algoma Central Corporation,Algoma Central Corporation,Canada,Aliaga,Turkey,10-07-2015
2015,9127813,Zenit,Fully Cellular Containership,21199,,1998,Marshall Islands,,Alpha Ship GmbH & Company KG ,Germany,Alpha Shipmanagement GmbH & Company KG ,Alpha Ship GmbH & Company KG ms Zenit ,Germany,Chittagong,Bangladesh,21-12-2015
2015,8320779,Liberty,Vehicle Carrier,51858,,1985,Marshall Islands ,,American Roll-On Roll-Off Carrier LLC  ,United States of America,American Roll-On Roll-Off Carrier LLC  ,Fidelio Limited Partnership Incorporated,United States of America,Jiangyin,China,04-06-2015
2015,7826491,Dominator,General Cargo With Container Capacity,9641,,1981,Togo ,,Ancora Maritime Incorporated,Greece,Ancora Maritime Incorporated,Atlantic RTI AS,Norway,Aliaga,Turkey,01-07-2015
2015,7404396,Antares,Fishing,2160,,1985,Cambodia,,AO Nakhodka Active Marine Fishery Base ,Russia,AO Nakhodka Active Marine Fishery Base ,AO Nakhodka Active Marine Fishery Base ,Russia,Alang,India,04-04-2015
2015,8614467,Silva,Tanker,44322,,1988,Tanzania,,AR Shipping (HK) Limited ,Hong Kong,AR Shipping (HK) Limited ,AR Shipping (HK) Limited ,Hong Kong,Alang,India,09-01-2015
2015,8212087,Princess Maria,Bulk Carrier,17313,,1986,Panama,,Arados Shipping Company S.r.l. ,Romania,Arados Shipping Company S.r.l. ,Maria Maritime Services Incorporated ,Panama,Gadani,Pakistan,09-09-2015
2015,8319689,Arca Emerald,Vehicle Carrier,37996,,1984,Panama,,Arca Mega Maritime Sendirian Berhad ,Malaysia,Arca Mega Maritime Sendirian Berhad ,Arca Mega Maritime Sendirian Berhad ,Malaysia,Chittagong,Bangladesh,14-10-2015
2015,9104122,Konstantinos A.,Bulk Carrier,38131,,1995,Greece ,,Arcadia Shipmanagement Company Limited,Greece,Aegean Bulk Company Incorporated  ,Sea Island Shipping Corporation,Liberia,Gadani,Pakistan,16-04-2015
2015,8306826,Umang,Bulk Carrier With Container Capacity,25063,,1984,Liberia ,,ArcelorMittal Shipping Limited,United Kingdom,ArcelorMittal Shipping Limited,Umang Shipping Services Limited  ,United Kingdom,Gadani,Pakistan,20-03-2015
2015,8806814,China Star,Fully Cellular Containership,37209,,1990,Liberia ,,Ares Navigation Incorporated  ,Liberia,Ares Navigation Incorporated  ,Ares Navigation Incorporated  ,Liberia,Alang,India,28-09-2015
2015,8421341,Voyager,Bulk Carrier,19864,,1985,Malta ,,Aroania Maritime SA,Greece,Aroania Maritime SA,Albatross Navigation Company Limited  ,Malta,Chittagong,Bangladesh,19-01-2015
